,title,link
19,《读书》新刊 | 王钦：责任的绝境,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136515&idx=1&sn=c1084e8fa8182ea4356eec7be6d6b465&chksm=845a8f76b32d0660ec7ff9a60b16c785d19758387e2797ab2022208967439280fd593122df4a#rd
20,《读书》新刊 | 徐进：“南北”与“猜嫌”,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136503&idx=1&sn=758c72b2af1c81c031cb0bc0f7adc392&chksm=845a8f02b32d0614362853c12d77701bfb3dda3a03f1733a95d85c041fa4d32c8eb7e708d672#rd
21,读书与自学 | 周振鹤：问策与对策,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136470&idx=1&sn=024b344f2669a93c8c9d8fbcee41d2f6&chksm=845a8f23b32d0635afad934acac0b7a2f06991a8888c9d1108a70c13d829389c8d51b9fb2a5a#rd
22,书讯 | “读书文丛”精选八种,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136457&idx=1&sn=fbe138bf94d0df057b617ec126dbb056&chksm=845a8f3cb32d062ae9ca4952651d85501e9c46a972cb34ebef6e360a4a09c1dc5f7db236e611#rd
23,《读书》首发 | 王璞： “五月风暴”的几个侧面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136454&idx=1&sn=7a3789f1d06d80f17dcb34fec4464960&chksm=845a8f33b32d06254e23851f3923324ba14910bc998af2d76d49d7bfcf3623dc1ecd2fe4c8fd#rd
24,《读书》新刊：2018年第7期目录+封面,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136435&idx=1&sn=f0eb8a5f8f9c66f378aeba5be39c7335&chksm=845a88c6b32d01d08b3399faef430cc50db418f694cf8467e69a0371d6baf0c811e12ed369ca#rd
25,《读书》首发 | 陈峰：杯觥之间——宋代的酒桌与政治,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136434&idx=1&sn=a307fbf9bcddec5bbc6be8e62817f07b&chksm=845a88c7b32d01d1aba5bb627e42e6c379a86cc85aa6c64ec9ffb2e89f743a129d8390104013#rd
26,半年书单 | 《读书》作伴夏日长,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136413&idx=1&sn=efa0771da8779d805180dd40753091c3&chksm=845a88e8b32d01feab2a66e70b1af57588c622dfa783825eb21511b1668fb8f539d278664a5f#rd
27,读书与自学 | 张元：阅读司马懿,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136407&idx=1&sn=cc313261d68e84299c49ae2076172d86&chksm=845a88e2b32d01f422848ee55f7faba42ed08a0a355e421d309a1bdb2b6806bbb17f70d26651#rd
28,新刊 | 安佳：印度货币与凯恩斯思想,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136386&idx=1&sn=441c0b3fbdc5a100f8b028e724d8af44&chksm=845a88f7b32d01e122241d1bb31a2f4c1428f716ddeceece82e43248ff7c32baf7abaab51c18#rd
29,新刊 | 孙歌：在生活中发现中国,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136368&idx=1&sn=cf4344a68ca4cc9e953e871844e77adc&chksm=845a8885b32d019387184d76f0b6c8a5edda66e9bfa38b9ca6349c1bc2e216b5ae1aac4d2511#rd
30,王安忆：男女关系的乌托邦,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136346&idx=1&sn=79c261b27502c1d5fa473471afeae4de&chksm=845a88afb32d01b9c6db4ace5819af8111dd3bb11c6229368254baad36fb24dbf1e6fe6f4293#rd
31,深度之旅 | 大地艺术节，体验艺术再造之力,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136346&idx=2&sn=3c32017128732a87deb1478afce3a09a&chksm=845a88afb32d01b9d1942abb73ac44c305c13514760358ace0d7b9825d920ee903088611675a#rd
32,新刊 | 张振涛：船歌,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136311&idx=1&sn=8c43f130d6514e0de51df96e44a8fd23&chksm=845a8842b32d0154874ed048fcceaabb4c996d3a5479493c015990c37b17c412a9f5c08e4df1#rd
33,新刊 | 彭锋：《宫娥》的再现悖论及其解决,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136289&idx=1&sn=a7667ce00f162df540545ce76539e167&chksm=845a8854b32d0142c392f981118bd648150e641c29a639139d5767b70da713a207e3ebcd32e0#rd
34,中国电影史料影印本丛书北影座谈会,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136289&idx=2&sn=7d7bc4fc6994de1ca1c6daf0084b2716&chksm=845a8854b32d01424187fb25cad5861fd4082da429f3a06618f6a14f4c130fe3061187a3d90c#rd
35,读书与自学 | 葛兆光：古代中国还有多少奥秘？——读李学勤《简帛佚籍与学术史》,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136241&idx=1&sn=2b83ba96665cb81f73e6b79f914d2aa9&chksm=845a8804b32d011277a45e9ab40e275ebc996a875e113af6b174a58ee3e80504282f648f8da4#rd
36,新刊 | 张正萍：一把辛酸泪：休谟的大学求职路,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136217&idx=1&sn=edb88d94bcdd138eef5a115920ab094a&chksm=845a882cb32d013aa353557d103a5f310598bf0381a1358d25d7ac06ea79726e190a551a2837#rd
37,新刊 | 岳永逸：学术“同工”杨堃的批评,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136203&idx=1&sn=ca0409016b684e958b37017fe16dd6d6&chksm=845a883eb32d0128c9a816b927cab45fbc99331b917d17068f082fc5ffc0a930b8db97a71398#rd
38,读书与自学 | 刘叶秋：笔记小说的入门津梁,http://mp.weixin.qq.com/s?__biz=MzA3ODk5NTAzNA==&mid=2652136187&idx=1&sn=a3fc67e01fa479aee25ad06dfc381eb4&chksm=845a89ceb32d00d8e16f16bdcbeda8e539256fca2179b77a5dc9bac5fb4947585a26acc3254c#rd
