Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num
16,【领导干部必读】领导干部如何提高执行力？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484397&idx=2&sn=35e2814de67a270c1368e7933fa39476&chksm=fc212117cb56a80141fcd069ec9c1b7e9d0f86566132eb150e1b8c90ff08cd314d98830f725e#rd,2,2020-5-31,0.0,1.0,1.0,0.0,484.0,1.0,0.0
17,在古代，地方官员如何打好“亲民牌”？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484397&idx=3&sn=e3071a498865f9f65cddcee064a8d9a3&chksm=fc212117cb56a801a1d01694bbace00ddd5490ded9d1cf3c4641718d217ee63adfddde202751#rd,3,2020-5-31,0.0,1.0,1.0,0.0,96.0,0.0,0.0
18,后疫情时代，城市建设如何实现“真智慧”？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484381&idx=1&sn=3ce6d813580795a9c79d0aa4f929f0fb&chksm=fc212127cb56a83173c1c4f35c176b9f647cb99f893355e175212308e6d449f3cc4bc0ec81f1#rd,1,2020-5-16,0.0,1.0,1.0,0.0,267.0,3.0,0.0
19,【领导干部必读】 利用“负面清单”识别好干部,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484381&idx=2&sn=552b4e3b01385a86e9f258b5a242165e&chksm=fc212127cb56a83124b301b0423bf57e85e70cada691468c7584ff1646ff6da01a48ee203158#rd,2,2020-5-16,0.0,1.0,1.0,0.0,276.0,0.0,0.0
20,读史 | 古代的“花式抗疫法”,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484381&idx=3&sn=4cdbcd31ca07c4678103d71ac494a460&chksm=fc212127cb56a8319fa389bd80aeeb06ca4c30ae77be0957ef2beb51e12f4d84044c1cad72e6#rd,3,2020-5-16,0.0,1.0,1.0,0.0,102.0,2.0,0.0
21,遭遇“黑天鹅”的高校毕业生，就业怎么办？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484361&idx=1&sn=690a1d2b9bf84bd4cd0cdc230407cdff&chksm=fc212133cb56a825b717cb75873e194c0ca620cb6c441205904d51acaafaa69ac93d2655e827#rd,1,2020-5-10,0.0,1.0,1.0,0.0,241.0,0.0,0.0
22,【领导干部必读】风险状态下，领导干部如何科学决策？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484361&idx=2&sn=e2c650d0877f7e2fd46a82a21192dd26&chksm=fc212133cb56a8257f09ed681224568f613e324e443e337c1df7b312b7fa81c977e7afa20049#rd,2,2020-5-10,0.0,1.0,1.0,0.0,207.0,1.0,0.0
23,北宋官场的独行者：“另类宰相”寇准的职场启示,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484361&idx=3&sn=611241a20e4e8dc57bd53b884b959e9b&chksm=fc212133cb56a8251559d2502cf3b119883007ec72f186e1487255f0ad5a041488ff41f5f887#rd,3,2020-5-10,0.0,1.0,1.0,0.0,138.0,2.0,0.0
24,新技术时代，更应警惕“技术迷信”！,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484342&idx=1&sn=027c91554819c0d963225bae966a045e&chksm=fc21214ccb56a85afba55e50437ebb120374d00aaec0aafd97e40934b84aaab0e72aae1edd14#rd,1,2020-4-26,0.0,1.0,1.0,0.0,209.0,3.0,0.0
25,后真相时代，如何不被自媒体营销号“带跑偏”？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484342&idx=2&sn=08cb1202e46c790e0287ed2518415c96&chksm=fc21214ccb56a85a758fdff7a62b109fb3cc648f50c0e1b7c10d0096549298bdb9da45c0d645#rd,2,2020-4-26,0.0,1.0,1.0,0.0,138.0,2.0,0.0
26,揭秘！关于郑和下西洋，你了解多少？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484342&idx=3&sn=f8452c1209ae20e4d33642b410ca7cda&chksm=fc21214ccb56a85a93f306a2347a7a749b0dd4ff3f6660ef539593efe43311de133db328a345#rd,3,2020-4-26,0.0,1.0,1.0,0.0,103.0,1.0,0.0
27,“娱乐至上”的时代，网络综艺何去何从？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484334&idx=1&sn=55c6796d03e9299bd9a0cfe066196509&chksm=fc212154cb56a84273e76b30c2ef771f32d3f448e1e8a43228d6c6b0cdb741465dfe999e1886#rd,1,2020-4-18,0.0,1.0,1.0,0.0,241.0,5.0,0.0
28,我们是如何掉入了“瘾性经济”的陷阱？,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484334&idx=2&sn=089726153fc815773729ed6185e7ca1e&chksm=fc212154cb56a84297e107ff752a342b91be0e81124ccfe155a328b2cfc12ce585dda9ca2fed#rd,2,2020-4-18,0.0,1.0,1.0,0.0,161.0,1.0,1.0
29,古代皇帝想听真话，都有这些操作！​,http://mp.weixin.qq.com/s?__biz=MzU1ODgzOTcwMQ==&mid=2247484334&idx=3&sn=135da79ae881855a3243598429295c56&chksm=fc212154cb56a842bf7f0cbc4ddd30053bd06d1fb40af64940f85dbb0bc474bb8f3d10650d08#rd,3,2020-4-18,0.0,1.0,1.0,0.0,129.0,0.0,0.0
