Unnamed: 0,title,link,post_index,date,have_chaolianjie,have_newmedia,have_tupian1yinpin1shipin,is_origin,read_num,like_num,old_like_num,lis_content,lis_content_like_num,lis_auther_reply,lis_auther_like_num
265,【喜报】我院8项课题获批2019年度国家社科基金项目,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485129&idx=4&sn=f2d936cf78270bce447465e8e1d3fece&chksm=e8836ba7dff4e2b1b9f065417b0eb0e70233e669c531e25983028a4d50d8a65013e961fff069#rd,4,2019-6-26,0.0,1.0,1.0,0.0,105.0,0.0,0.0,,,,
266,【工作要闻】宁夏社科院召开“不忘初心、牢记使命”主题教育动员会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485120&idx=1&sn=8a7ffb854cf1612dfae5083c4b82f319&chksm=e8836baedff4e2b8c12a038f6cea31e6a7454469de97b599739bb3b2e5a0cdd10fbef74508a6#rd,1,2019-6-19,0.0,1.0,1.0,0.0,64.0,0.0,0.0,,,,
267,【工作要闻】自治区党委书记、人大常委会主任石泰峰到宁夏社科院调研,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485113&idx=1&sn=f3bc9d50fa0893e26428a81a32ebc5bf&chksm=e8836bd7dff4e2c16abc52deec9cd50fc5c013fa7bccb69e4513ae2ea0085176c0dbfebaa871#rd,1,2019-5-15,0.0,1.0,1.0,0.0,109.0,0.0,0.0,,,,
268,【工作动态】我院召开2019年度国家社科基金项目、自治区社科基金项目及宁夏智库课题项目进展督促会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485113&idx=2&sn=7101e0463ef15e0d7395303e2686611c&chksm=e8836bd7dff4e2c1427c4aed62e5c10f11d38e747ec6ee8f9e67260e1b5016d33648570a40ad#rd,2,2019-5-15,0.0,1.0,1.0,0.0,74.0,0.0,0.0,,,,
269,【学术交流】我院科研人员参加“全国第六届红色文化资源研究理论研讨会”,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485113&idx=3&sn=52ffa979f94e7971e7c94d3fb2c06acc&chksm=e8836bd7dff4e2c1ba89369ec02f07df363c333c20387cb0b1bacbee5b1533707073d1530cb3#rd,3,2019-5-15,0.0,1.0,1.0,0.0,43.0,0.0,0.0,,,,
270,【社科理论】张东祥：人工智能助力宁夏经济发展,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485113&idx=4&sn=5bc7b945435deb69f74d273f3c1b9553&chksm=e8836bd7dff4e2c171b53033b908716b4d38e7f7908f5aee73ebfc740884191f41d2fd6b9a8f#rd,4,2019-5-15,0.0,1.0,1.0,0.0,67.0,0.0,0.0,,,,
271,【工作要闻】宁夏社会科学院召开纪念五四运动100周年座谈会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485101&idx=1&sn=93ff2ddfd3382a457e81dcba2891b039&chksm=e8836bc3dff4e2d554faf0caabec0d3adb5282992c235d820aa8dd4ede281f94e243b5375f20#rd,1,2019-5-1,0.0,1.0,1.0,0.0,66.0,0.0,0.0,,,,
272,【工作要闻】宁夏社科院举办“经典永流传，筑梦新时代”——优秀名篇诵读活动,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485101&idx=2&sn=88e77644f567484697750185d81c87f5&chksm=e8836bc3dff4e2d5279c04cac93e5b4fb35187a7057d4db5bc02656d427ea065c0606c186198#rd,2,2019-5-1,0.0,1.0,1.0,0.0,54.0,0.0,0.0,,,,
273,【部门动态】我院科研人员参加“纪念改革开放40年：新时代回族学研究研讨会”,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485101&idx=3&sn=1f71410c7392d087c44b907d99dd0df9&chksm=e8836bc3dff4e2d5b891f369b685d3c6c5aac859320d51bd32fdc4f4719c9d1832555ad3a6e9#rd,3,2019-5-1,0.0,1.0,1.0,0.0,54.0,0.0,0.0,,,,
274,【社科评论】在新时代发扬伟大五四精神,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485101&idx=4&sn=fcfb7ff88dfcc793f474f6b594b9fda2&chksm=e8836bc3dff4e2d546bf43c7e6b2af31b570ed479349d95d0febcec82aae8ea1e2f797628265#rd,4,2019-5-1,0.0,1.0,1.0,0.0,37.0,0.0,0.0,,,,
275,【工作动态】宁夏社科院举行党建暨党风廉政建设工作会议和党员集中公诺活动,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485087&idx=1&sn=50b5e444eddd007eecb83580dc44b98f&chksm=e8836bf1dff4e2e7f4a764c1d9fc259559b670746bd000a284f5b1d85fc201cb2eac1ce79076#rd,1,2019-4-20,0.0,1.0,1.0,0.0,42.0,0.0,0.0,,,,
276,【工作动态】我院举行2019年重大现实问题研究课题开题报告会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485087&idx=2&sn=855680a6f27e9b949dff1ee7d7fae64b&chksm=e8836bf1dff4e2e7b889fb38f60f69bdccbb615f4e5e564d7ba197db470de9b3a85170356518#rd,2,2019-4-20,0.0,1.0,1.0,0.0,42.0,0.0,0.0,,,,
277,【学术沙龙】学人恳谈：隋唐与西亚中亚的丝路艺术交流,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485087&idx=3&sn=ae716e56a49ff1bb82ab2b6873c05e00&chksm=e8836bf1dff4e2e72ddfc818019efff835dd25e3727c0b8f7c2a31a492d0b2d75090866d7838#rd,3,2019-4-20,0.0,1.0,1.0,0.0,40.0,0.0,0.0,,,,
278,《习近平新时代中国特色社会主义思想学习丛书》出版座谈会在京举行,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485087&idx=4&sn=4d1350222fbca94195e1371e11236021&chksm=e8836bf1dff4e2e7f1b8fbbe2d75de5f69568889395b67b3bf05818b32894df207136142cdf1#rd,4,2019-4-20,0.0,1.0,1.0,0.0,19.0,0.0,0.0,,,,
279,【工作动态】宁夏社科院召开专题会议研究部署强“三性”增“四力”提升干部队伍本领素质教育实践工作,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485074&idx=1&sn=76c4dbc411a995a81d845333681e5dec&chksm=e8836bfcdff4e2ea890efcb3a5e62c2403b2b6410dc2b20a82caeea5afd3a6546cf6532bcd41#rd,1,2019-4-6,0.0,1.0,1.0,0.0,57.0,0.0,0.0,,,,
280,【工作动态】宁夏社科院举办2019年全国“两会”精神报告会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485074&idx=2&sn=dec3e75183226ae0339c5b80060f75df&chksm=e8836bfcdff4e2eac0b090e758c8f01ba5a934eddbbf5dbd6e86b23db8e77c04a4c22cb2d38a#rd,2,2019-4-6,0.0,1.0,1.0,0.0,40.0,0.0,0.0,,,,
281,【征稿启示】“庆祝新中国成立70周年研讨会”征稿启事,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485074&idx=3&sn=5efb8572aaa4670890d79891f61f545a&chksm=e8836bfcdff4e2eaa96c47fffaa56d8998a340ef8c5767c7b96ae668de1b4df03470e3a9edc3#rd,3,2019-4-6,0.0,1.0,1.0,0.0,84.0,0.0,0.0,,,,
282,【公告】宁夏社会科学院2019年公开招聘专业技术人才,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485074&idx=4&sn=af16130971d9f29ed2c9a49e99884209&chksm=e8836bfcdff4e2ea44a79daf4ac2b59ff54b91fc8b841e66d28c21fff9edd8b059f4e5c8cf90#rd,4,2019-4-6,0.0,1.0,1.0,0.0,177.0,0.0,0.0,,,,
283,【工作要闻】宁夏社会科学院召开2018年度总结表彰大会,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485064&idx=1&sn=a8515b5e2da241fa35c6adfecf417459&chksm=e8836be6dff4e2f0317efefbb86920966721c282a7e9f850db902a3a014adc388753ff2ce430#rd,1,2019-2-14,0.0,1.0,1.0,0.0,88.0,0.0,0.0,,,,
284,【领导讲话】彭生选书记在2018年度总结表彰大会上的讲话,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485064&idx=2&sn=05cf5a0f4bc2b1e5d929d368961be322&chksm=e8836be6dff4e2f08453ee147c78e225fb321208eb1705e6492e4fc039e7f34c40a7f1f87400#rd,2,2019-2-14,0.0,1.0,1.0,0.0,237.0,0.0,0.0,,,,
285,【社科理论】白草：返回历史现场 更新研究范式 ——2018年现当代文学研究述评,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485064&idx=3&sn=6c7b8888013c1cda33c1cd94c1b919f5&chksm=e8836be6dff4e2f019efebd2f2e351c0204664a79a8a98066c41a201493c5d760975a4e58c57#rd,3,2019-2-14,0.0,1.0,1.0,0.0,62.0,4.0,0.0,,,,
286,【参政议政】综合经济研究所科研人员在自治区“两会”上积极建言,http://mp.weixin.qq.com/s?__biz=MzIzMzY2NzU4NQ==&mid=2247485064&idx=4&sn=ac16fff73ff0d42845e7677b89d16525&chksm=e8836be6dff4e2f0dbe9e86944d8d4f094d7da2e7c8ee08f9aa8f490409a313b70055493fbbe#rd,4,2019-2-14,0.0,1.0,1.0,0.0,37.0,0.0,0.0,,,,
