,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
20,2018,9,2018-9,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,2018,10,2018-10,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
22,2018,11,2018-11,东岳论丛,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.25,1.0,0.25,1.0,1.0,1325.0,331.25,0.25,442.0,0.0,0.0,0.0,0.0,《东岳论丛》2018年第11期目录☀《东岳论丛》2018年第10期目录☀《东岳论丛》2018年第9期目录☀《东岳论丛》2018年第8期目录
23,2018,12,2018-12,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
24,2019,1,2019-1,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
25,2019,2,2019-2,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
26,2019,3,2019-3,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.0,259.0,0.0,389.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年第1期目录☀2018年1-12期总目录☀《东岳论丛》2018年第12期目录
27,2019,4,2019-4,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,463.0,0.0,567.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年第3期目录☀《东岳论丛》2019年第2期目录
28,2019,5,2019-5,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
29,2019,6,2019-6,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.5,0.0,1.0,753.0,376.5,0.5,395.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年第5期目录☀《东岳论丛》2019年第4期目录
30,2019,7,2019-7,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,2.0,1487.0,495.6666666666667,0.6666666666666666,689.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年第8期目录☀《东岳论丛》2019年第7期目录☀《东岳论丛》2019年第6期目录
31,2019,8,2019-8,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
32,2019,9,2019-9,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33,2019,10,2019-10,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
34,2019,11,2019-11,东岳论丛,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,1245.0,415.0,0.3333333333333333,448.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年第11期☀《东岳论丛》2019年第10期☀《东岳论丛》2019年第9期目录
35,2019,12,2019-12,东岳论丛,2.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1258.0,629.0,1.0,743.0,0.0,0.0,0.0,0.0,《东岳论丛》2019年1~12期总目录☀《东岳论丛》2019年第12期
36,2020,1,2020-1,东岳论丛,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
