,year,month,year_month,account_name,monthly_articles,monthly_posts,monthly_read_10000_more,monthly_articles_origin,monthly_first_have_chaolianjie,monthly_first_have_newmedia,monthly_first_have_tupian1yinpin1shipin,monthly_likes_sum,monthly_old_likes_sum,monthly_likes_mean,monthly_old_likes_mean,monthly_likes_mean_first_post,monthly_old_likes_mean_first_post,monthly_likes_max,monthly_read_sum,monthly_read_mean,monthly_read_first_post,monthly_read_max,monthly_content_num,monthly_auther_reply_num,monthly_content_like_num,monthly_auther_like_num,monthly_titles
0,2017,1,2017-1,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,2017,2,2017-2,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,2017,3,2017-3,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,2017,4,2017-4,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,2017,5,2017-5,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,2017,6,2017-6,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,2017,7,2017-7,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,2017,8,2017-8,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,2017,9,2017-9,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,2017,10,2017-10,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,2017,11,2017-11,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,2017,12,2017-12,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12,2018,1,2018-1,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,2018,2,2018-2,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,2018,3,2018-3,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,2018,4,2018-4,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16,2018,5,2018-5,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,2018,6,2018-6,读书杂志,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
18,2018,7,2018-7,读书杂志,12.0,11.0,1.0,10.0,0.0,1.0,1.0,41.0,525.0,3.4166666666666665,43.75,3.727272727272727,45.09090909090909,11.0,80511.0,6709.25,3.727272727272727,21616.0,1.0,0.0,0.0,0.0,《读书》首发 | 汪毅霖：奥运会的经济账☀读书与自学 | 陈乐民：读黄仁宇《中国——一部大历史》☀《读书》首发 | 穆蕴秋 江晓原：科学出版乌托邦：从开放存取到掠夺性期刊（上）☀《读书》新刊：2018年第8期目录＋封面☀《读书》首发 | 左亦鲁：两粒未发芽的种子：《邮报》与五角大楼文件案☀读书与自学 | 罗志田 葛小佳：近代中国的两个世界：一个内地乡绅眼中的世事变迁☀《读书》新刊 | 朱靖江：旧日无常——方苏雅的晚清云南电影与市井生活☀《读书》新刊 | 王维佳：网络与霸权：信息通讯的地缘政治学☀读书与自学 | 金克木：美术三疑问☀夏日炎炎，花事最为清雅☀《读书》新刊 | 傅刚：正本清源——《玉台新咏》的编纂和刊刻☀《读书》新刊 | 陈晋：走出人类学的自恋
19,2018,8,2018-8,读书杂志,20.0,19.0,4.0,15.0,0.0,1.0,1.0,81.0,1115.0,4.05,55.75,4.2105263157894735,58.05263157894737,19.0,129482.0,6474.1,4.2105263157894735,15021.0,12.0,0.0,104.0,0.0,读书与自学 | 胡宝国：通者的气象☀《读书》首发 | 谢一峰：笔端上的华夏化☀《读书》新刊：2018年第9期目录+封面☀《读书》首发 ︳霍伟岸：国家有界，贸易无疆☀读书与自学 | 绿原：《新科学》困学记☀严飞：暴力的欢愉，终将导致暴力的结局☀《读书》新刊 | 王英：在梨园中发现中国☀读书与自学 | 何兆武：本土和域外☀《读书》新刊 | 李晋：纸·路·西方博物学家的中国之旅☀招募 | 新学期，欢迎来《读书》实习☀招募 | 新学期，欢迎来《读书》实习☀招募 | 新学期，欢迎来《读书》实习☀招募 | 新学期，欢迎来《读书》实习☀《读书》新刊 | 卜键：从“唐太”到“桦太”——《库页的伤逝》之四☀李皖：雅俗界说☀纪念 | 那个为《读书》画了十年的老人☀《读书》新刊 | 汪晖：竦听荒鸡偏阒寂☀《读书》新刊 ︳泮伟江：谁是陌生人？☀读书与自学 | 陈平原：工诗未必非高僧——说寄禅的“痴诗”☀《读书》新刊 | 王小章：群氓是怎样炼成的？
20,2018,9,2018-9,读书杂志,13.0,13.0,1.0,12.0,0.0,1.0,1.0,49.0,601.0,3.769230769230769,46.23076923076923,3.769230769230769,46.23076923076923,19.0,79582.0,6121.692307692308,3.769230769230769,12739.0,17.0,2.0,62.0,6.0,旧锦新样 | 王风：天开图画即江山☀《读书》首发 | 杨立华等：如何让哲学说中国话☀《读书》首发 | 科学出版乌托邦：从开放存取到掠夺性期刊（下）☀《读书》新刊：2018年第10期目录+封面☀《读书》新刊 | 朱万章：袁枚到底长什么样？☀《读书》新刊 | 王嘉乐：道是何人运斧工☀《读书》新刊 | 吴光兴：郑振铎与文学研究所“老先生”☀旧锦新样 | 尹吉男：从孔子不看电视说起☀《读书》新刊 | 罗照田：贵格教派与华西老建筑☀《读书》新刊 | 田雷：他改变了美国最高法院☀旧锦新样 | 王希：麦卡锡主义的闹剧与悲剧☀《读书》新刊 | 张帆：苏秉琦的手感☀《读书》新刊 | 张辉：做作者的知音
21,2018,10,2018-10,读书杂志,15.0,14.0,5.0,13.0,0.0,1.0,1.0,125.0,1065.0,8.333333333333334,71.0,8.928571428571429,74.0,44.0,123026.0,8201.733333333334,8.928571428571429,23072.0,11.0,5.0,49.0,21.0,《读书》回顾 | 金庸：写给“三联版”读者的话☀《读书》新刊：2018年第11期目录+封面☀《读书》首发 | 葛兆光：当“暹罗”改名“泰国”☀旧锦新样 | 吴方：斜阳系缆——漫谈历史中的俞平伯☀《读书》新刊 | 沈卫威：“流亡学生”齐邦媛、王鼎钧对历史的见证☀《读书》新刊 | 曹冬雪、黄荭：“女儿子”抑或“半边天”？——福克与法国均等运动☀旧锦新样 | 梁展：身体与文明等级☀《读书》新刊 | 李庆西：祥瑞与灾异☀《读书》新刊 | 程龙：密歇根湖畔的热河“金庙”☀旧锦新样 | 舒芜：简单是文章的最高标准☀《读书》新刊 | 什么风把你吹来：从福建到东南亚☀活动预告 | 《一个犹太人的上海记忆》读者见面会☀《读书》新刊 | 宋念申：“凯镇九人”事件五十年☀旧锦新样 | 汪丁丁：我们这一代人的未来☀《读书》新刊 | 李强：斯金纳的“语境”
22,2018,11,2018-11,读书杂志,17.0,15.0,1.0,14.0,0.0,1.0,1.0,62.0,686.0,3.6470588235294117,40.35294117647059,4.133333333333334,44.4,10.0,90530.0,5325.294117647059,4.133333333333334,10906.0,5.0,0.0,26.0,0.0,瞿骏：钱穆与《学灯》☀《读书》首发 | 缪哲：汉代奇迹☀《读书》新刊：2018年第12期目录+封面☀《读书》首发 | 程亚文：新知识短缺的历史与今天☀旧锦新样 | 恺蒂：企鹅六十年☀《读书》新刊 | 周敏：奈保尔在特立尼达的房子☀《读书》新刊 | 胡学常：“钟敬文”“邹庆文”“周兴文”和周鲸文☀旧锦新样 | 张汝伦：哲学的生命☀《读书》新刊 | 陈恒：城市研究的形成与构建☀《读书》新刊 | 霍宏伟：一件银盒的定名与解读☀旧锦新样 | 李公明：为什么我们会同受煎熬☀你有多久没有读完一本书了？☀每一天，与古人遥相致意☀《读书》新刊 | 罗志田：“过渡时代”与“大国转身”☀《读书》新刊 | 吴真：朱自清备课用书的东流经历☀《读书》新刊 | 苏鲁闽：一个保守主义知识分子的固守☀《读书》首发 | 陈映芳：“种族问题”是种族的问题吗？
